,symbol,datetime,open,high,low,close
138,MSFT,2022-07-22 04:00:00,265.24,265.33,259.07,260.36
139,MSFT,2022-07-25 04:00:00,260.995,261.5,256.81,258.83
140,MSFT,2022-07-26 04:00:00,259.86,259.88,249.57,251.9
141,MSFT,2022-07-27 04:00:00,261.16,270.05,258.85,268.74
142,MSFT,2022-07-28 04:00:00,269.75,277.84,267.87,276.41
143,MSFT,2022-07-29 04:00:00,277.7,282.0,276.63,280.74
144,MSFT,2022-08-01 04:00:00,277.82,281.28,275.84,278.01
145,MSFT,2022-08-02 04:00:00,276.0,277.89,272.38,274.82
146,MSFT,2022-08-03 04:00:00,276.76,283.5,276.61,282.47
147,MSFT,2022-08-04 04:00:00,281.8,283.8,280.1677,283.65
148,MSFT,2022-08-05 04:00:00,279.15,283.65,278.68,282.91
149,MSFT,2022-08-08 04:00:00,284.05,285.92,279.32,280.32
150,MSFT,2022-08-09 04:00:00,279.64,283.08,277.61,282.3
151,MSFT,2022-08-10 04:00:00,288.17,289.81,286.94,289.16
152,MSFT,2022-08-11 04:00:00,290.85,291.21,286.51,287.02
153,MSFT,2022-08-12 04:00:00,288.48,291.91,286.94,291.91
154,MSFT,2022-08-15 04:00:00,291.0,294.18,290.11,293.47
155,MSFT,2022-08-16 04:00:00,291.99,294.04,290.42,292.71
156,MSFT,2022-08-17 04:00:00,289.74,293.35,289.47,291.32
157,MSFT,2022-08-18 04:00:00,290.189,291.91,289.08,290.17
158,MSFT,2022-08-19 04:00:00,288.9,289.25,285.56,286.15
159,MSFT,2022-08-22 04:00:00,282.08,282.46,277.22,277.75
160,MSFT,2022-08-23 04:00:00,276.44,278.86,275.4,276.44
161,MSFT,2022-08-24 04:00:00,275.41,277.23,275.11,275.79
162,MSFT,2022-08-25 04:00:00,277.33,279.02,274.52,278.85
163,MSFT,2022-08-26 04:00:00,279.08,280.34,267.98,268.09
164,MSFT,2022-08-29 04:00:00,265.85,267.4,263.85,265.23
165,MSFT,2022-08-30 04:00:00,266.67,267.05,260.66,262.97
166,MSFT,2022-08-31 04:00:00,265.39,267.11,261.33,261.47
167,MSFT,2022-09-01 04:00:00,258.87,260.89,255.41,260.4
168,MSFT,2022-09-02 04:00:00,261.695,264.74,254.47,256.06
169,MSFT,2022-09-06 04:00:00,256.2,257.83,251.94,253.25
170,MSFT,2022-09-07 04:00:00,254.7,258.83,253.22,258.09
171,MSFT,2022-09-08 04:00:00,257.51,260.43,254.79,258.52
172,MSFT,2022-09-09 04:00:00,260.5,265.23,260.29,264.46
173,MSFT,2022-09-12 04:00:00,265.78,267.45,265.16,266.65
174,MSFT,2022-09-13 04:00:00,258.84,260.4,251.59,251.99
175,MSFT,2022-09-14 04:00:00,253.53,254.23,249.86,252.22
176,MSFT,2022-09-15 04:00:00,249.77,251.4,244.02,245.38
177,MSFT,2022-09-16 04:00:00,244.26,245.3,242.0627,244.74
178,MSFT,2022-09-19 04:00:00,242.465,245.14,240.85,244.52
179,MSFT,2022-09-20 04:00:00,242.065,243.51,239.64,242.45
180,MSFT,2022-09-21 04:00:00,244.27,247.66,238.9,238.95
181,MSFT,2022-09-22 04:00:00,237.8704,243.86,237.57,240.98
182,MSFT,2022-09-23 04:00:00,239.54,241.13,235.2,237.92
183,MSFT,2022-09-26 04:00:00,237.045,241.45,236.9,237.45
184,MSFT,2022-09-27 04:00:00,239.98,241.8,234.5,236.41
185,MSFT,2022-09-28 04:00:00,236.81,242.33,234.73,241.07
186,MSFT,2022-09-29 04:00:00,238.89,239.95,234.41,237.5
187,MSFT,2022-09-30 04:00:00,238.29,240.54,232.73,232.9
188,MSFT,2022-10-03 04:00:00,235.41,241.61,234.66,240.74
189,MSFT,2022-10-04 04:00:00,245.09,250.36,244.975,248.88
190,MSFT,2022-10-05 04:00:00,245.99,250.58,244.1,249.2
191,MSFT,2022-10-06 04:00:00,247.93,250.34,246.08,246.79
192,MSFT,2022-10-07 04:00:00,240.902,241.32,233.17,234.24
193,MSFT,2022-10-10 04:00:00,233.05,234.559,226.73,229.25
194,MSFT,2022-10-11 04:00:00,227.62,229.06,224.11,225.41
195,MSFT,2022-10-12 04:00:00,225.4,227.86,223.96,225.75
196,MSFT,2022-10-13 04:00:00,219.85,236.1,219.13,234.24
197,MSFT,2022-10-14 04:00:00,235.54,237.24,228.34,228.56
198,MSFT,2022-10-17 04:00:00,235.82,238.96,235.135,237.53
199,MSFT,2022-10-18 04:00:00,243.24,243.93,235.37,238.5
200,MSFT,2022-10-19 04:00:00,237.04,239.61,234.29,236.48
201,MSFT,2022-10-20 04:00:00,235.77,241.31,234.87,236.15
202,MSFT,2022-10-21 04:00:00,234.74,243.0,234.5,242.12
203,MSFT,2022-10-24 04:00:00,243.76,247.84,241.295,247.25
204,MSFT,2022-10-25 04:00:00,247.26,251.04,245.83,250.66
205,MSFT,2022-10-26 04:00:00,231.17,238.3,230.06,231.32
206,MSFT,2022-10-27 04:00:00,231.04,233.69,225.78,226.75
207,MSFT,2022-10-28 04:00:00,226.24,236.6,226.05,235.87
208,MSFT,2022-10-31 04:00:00,233.76,234.92,231.15,232.13
209,MSFT,2022-11-01 04:00:00,234.6,235.74,227.325,228.17
210,MSFT,2022-11-02 04:00:00,229.46,231.3,220.04,220.1
211,MSFT,2022-11-03 04:00:00,220.09,220.41,213.98,214.25
212,MSFT,2022-11-04 04:00:00,217.55,221.59,213.431,221.39
213,MSFT,2022-11-07 05:00:00,221.99,228.41,221.28,227.87
214,MSFT,2022-11-08 05:00:00,228.7,231.65,225.84,228.87
215,MSFT,2022-11-09 05:00:00,227.37,228.6327,224.33,224.51
216,MSFT,2022-11-10 05:00:00,235.43,243.33,235.0,242.98
217,MSFT,2022-11-11 05:00:00,242.99,247.99,241.93,247.11
218,MSFT,2022-11-14 05:00:00,241.985,243.91,239.21,241.55
219,MSFT,2022-11-15 05:00:00,245.66,247.0,240.03,241.97
220,MSFT,2022-11-16 05:00:00,242.79,243.8,240.42,241.73
221,MSFT,2022-11-17 05:00:00,237.78,243.25,237.63,241.68
222,MSFT,2022-11-18 05:00:00,243.51,243.74,239.03,241.22
223,MSFT,2022-11-21 05:00:00,241.43,244.67,241.19,242.05
224,MSFT,2022-11-22 05:00:00,243.59,245.31,240.71,245.03
225,MSFT,2022-11-23 05:00:00,245.105,248.28,244.27,247.58
226,MSFT,2022-11-25 05:00:00,247.31,248.7,246.73,247.49
227,MSFT,2022-11-28 05:00:00,246.08,246.65,240.8,241.76
228,MSFT,2022-11-29 05:00:00,241.4,242.79,238.21,240.33
229,MSFT,2022-11-30 05:00:00,240.57,255.33,239.86,255.14
230,MSFT,2022-12-01 05:00:00,253.87,256.12,250.9156,254.69
231,MSFT,2022-12-02 05:00:00,249.82,256.06,249.69,255.02
232,MSFT,2022-12-05 05:00:00,252.01,253.819,248.06,250.2
233,MSFT,2022-12-06 05:00:00,250.82,251.86,243.78,245.12
234,MSFT,2022-12-07 05:00:00,244.83,246.16,242.205,244.37
235,MSFT,2022-12-08 05:00:00,244.84,248.74,243.06,247.4
236,MSFT,2022-12-09 05:00:00,244.695,248.31,244.16,245.42
237,MSFT,2022-12-12 05:00:00,247.445,252.54,247.17,252.51
238,MSFT,2022-12-13 05:00:00,261.69,263.915,253.07,256.92
239,MSFT,2022-12-14 05:00:00,257.13,262.588,254.31,257.22
240,MSFT,2022-12-15 05:00:00,253.72,254.2,247.34,249.01
241,MSFT,2022-12-16 05:00:00,248.55,249.84,243.51,244.69
242,MSFT,2022-12-19 05:00:00,244.86,245.21,238.71,240.45
243,MSFT,2022-12-20 05:00:00,239.4,242.91,238.42,241.8
244,MSFT,2022-12-21 05:00:00,241.69,245.615,240.11,244.43
245,MSFT,2022-12-22 05:00:00,241.255,241.99,233.87,238.19
246,MSFT,2022-12-23 05:00:00,236.11,238.87,233.9428,238.73
247,MSFT,2022-12-27 05:00:00,238.7,238.93,235.83,236.96
248,MSFT,2022-12-28 05:00:00,236.89,239.72,234.17,234.53
249,MSFT,2022-12-29 05:00:00,235.65,241.92,235.65,241.01
250,MSFT,2022-12-30 05:00:00,238.21,239.96,236.66,239.82
